baseline: tests=61 skip=0 failures=0
gate_always_allows: failures=25
types_disabled: failures=4
constraints_disabled: failures=18
silent_none: failures=19
lock_removed: failures=1
raw_function: failures=35
defaults_skipped: failures=4
hook_skipped: failures=6
original_arguments: failures=3
fsync_removed: failures=1
flush_removed: failures=1
paths_unrestricted: failures=3
programs_unrestricted: failures=1
options_unrestricted: failures=1
shell_enabled: failures=1
timeout_removed: failures=1
exit_check_removed: failures=1
read_lock_removed: failures=1
public_file_mode: failures=1
varargs_allowed: failures=1
text_limit_removed: failures=1
read_limit_removed: failures=1
root_not_strict: failures=1
executable_not_strict: failures=1
boundary_narrowed: failures=13
base_exceptions_escape: failures=1
context_unchecked: failures=1
keyword_collision: failures=2
nonfinite_json: failures=3
unbounded_history: failures=2
shown_per_match: failures=1
refusal_not_logged: failures=10
stop_exceptions_swallowed: failures=10
memory_outside_root_ignored: failures=1
task_not_truncated: failures=1
file_read_entirely: failures=2
deep_copy_removed: failures=2
shown_indices_kept: failures=1
atomic_write_removed: failures=5
defaults_after_snapshot: failures=3
write_without_encoding: failures=1
read_without_encoding: failures=1
annotated_three_args: failures=1
regex_anchor_removed: failures=2
o_nonblock_removed: failures=1
broad_except_before: failures=1
casefold_to_lower: failures=1
shown_without_task: failures=2
allow_nan_in_remember: failures=1
caught=49 total=49
